まず選択が押しづらい。ワードをタップしたら選択が反応しろ。  生成されたワードが不良品であるものが多い。 ・文字数優先で言葉が途中で途切れてしまっている。
・一般的ではない言葉を使用している。 ・レベルが高いのに、「男前」だの相手が褒めるワードが入ってしまっている。 ・もっと相手を挑発するようなワードがほしい。相手を怒らせたい。または相手を落ち込ませたい。  ・ターゲットの情報が少ないため、ワードが似たようなものになってしまっている。 ターゲットの情報をこちらの情報をベースにさらに追加し、コード内にあらかじめ内封せよ。 
名前,見た目,経歴,性格,周りからの評価
松本人志,筋肉質・金髪・鋭い眼光,ダウンタウン・お笑い界の象徴,ストイック・天才自負,崇拝される一方で「裸の王様」化への懸念と権威主義への批判。
浜田雅功,派手なスカジャン・老化・M字額,ダウンタウン・ツッコミの頂点,ドS・せっかち,暴力的な芸風への時代的違和感と「最後は優しい」という依存的信奉。
明石家さんま,出っ歯・細身・枯れない笑顔,お笑い怪獣・BIG3,サービス精神・自己愛,「自分の話ばかりする老害」という若年層の冷笑と圧倒的な実績への畏怖。
ビートたけし,チック症・猫背・独特の歩き,世界のキタノ・漫才ブーム主役,照れ屋・博識,「何を言っているか聞き取れない」という加齢の残酷さとレジェンドへの忖度。
タモリ,サングラス・落ち着いた佇まい,森田一義・密室芸出身,達観・多趣味,「お笑いを捨てた文化人」という揶揄と圧倒的な安心感の二極化。
有吉弘行,毒のある笑顔・スーツ・普通,猿岩石・再ブレイクの王,現実主義・人間不信,「牙が抜けて体制側に回った」という古参ファンからの失望。
上田晋也,ちりちり髪・細身・司会者顔,くりぃむしちゅー・うんちく王,博識・例えツッコミ,「例えが説明的すぎて鼻につく」という知性への嫉妬と反発。
太田光,落ち着きがない・若々しい,爆笑問題・時事漫才,暴走・繊細,「空気が読めない暴走」がエンタメを通り越して不快だという苦言。
粗品,長い指・独特の髪型・細身,霜降り明星・二冠,傲慢・ギャンブル狂,「ただの失礼な若者」と「革命児」という世代間での極端な評価。
山内健司,サイコパス的な目・小太り,かまいたち・ロジカル漫才,強欲・自信過剰,「金の亡者」「性格の悪さが顔に出ている」という生理的嫌悪感。
濱家隆一,高身長・清潔感・色気,かまいたち・多才司会者,神経質・上昇志向,「昔の尖りを捨てて女子受けに走った」という日和りへの批判。
千鳥大悟,坊主・いかつい顔・酒焼け,千鳥・ロケの神,破天荒・漢気,「不倫を笑いにする昭和の悪癖」への女性層からの根強い反発。
千鳥ノブ,癖のある顔・ツッコミ顔,千鳥・パワーワード,俗物・愛妻家,「ツッコミがワンパターン」「CMに出すぎて鮮度が落ちた」という指摘。
バカリズム,童顔・マッシュヘア,ピン・脚本家,理屈っぽい・計算高い,「自分の知性を信じすぎている」という鼻につくエリート意識への嫌悪。
若林正恭,童顔・猫背・斜に構えた目,オードリー・エッセイスト,自意識過剰・内向的,「こじらせをビジネスにする狡猾さ」と「変化への裏切り」。
山里亮太,赤い眼鏡・くせ毛,南海キャンディーズ,嫉妬・努力,「幸せになって以来、嫉妬芸が嘘臭い」という芸風の根幹崩壊。
ナダル,白タートル・イっちゃってる目,コロチキ,クズ・小心,「演技ではない本物の不快感」と、それを見る側の悪趣味な満足。
渡部建,清潔感・グルメ顔,アンジャッシュ・不祥事,計算・自惚れ,「戻ってこなくていい」という国民的な拒絶と、再起を図る姿への冷笑。
宮迫博之,ナルシスト・時計マニア,雨上がり・不祥事,目立ちたがり・臆病,「往生際が悪く、プライドが裸になるのを邪魔している」という分析。
中田敦彦,理知的・独裁者風,オリラジ・教育系,野心・自己愛,「教祖化していて笑えない」「思想の押し売りが激しい」という乖離。
カズレーザー,全身赤・金髪,メイプル超合金・クイズ,合理・冷淡,「正論すぎて可愛げがない」「AIと喋っているようで冷める」。
小峠英二,スキンヘッド・鋭い眼光,バイきんぐ,キレ芸・ロック好き,「叫んでいるだけで中身がない」「使い勝手が良すぎて摩耗している」。
日村勇紀,マッシュヘア・特徴的な顔,バナナマン・リアクション,天真爛漫・卑屈,「不潔感の払拭に成功したが、毒もなくなった」という物足りなさ。
設楽統,端正・清潔感,バナナマン・司会の王,冷静・Sっ気,「性格が冷徹すぎる」「スタッフへの当たりが強そう」という裏の顔への疑念。
秋山竜次,黒髪ロング・恰幅,ロバート・クリエイター,変態・没頭,「天才すぎて付いていけない」「やってることがずっと一緒」という飽き。
博多大吉,長身・清潔感・紳士,博多華丸・大吉,理知・自虐,「闇が深そう」「クリーンな印象が崩れた後の回復が不完全」。
後藤輝基,鋭い目・スマート,フットボールアワー,せっかち・自信家,「ツッコミがテンプレ化している」「最近あまり面白そうに笑っていない」。
岩尾望,ブサイク・お洒落,フットボールアワー,繊細・自分好き,「ブサイクを武器にしていたのに守りに入っている」「お洒落が痛い」。
村上信五,八重歯・うるさい,関ジャニ・司会,強欲・仕事人,「芸人でもないのに芸人気取り」「ガツガツしすぎて見ていて疲れる」。
フワちゃん,派手・自撮り,YouTuber芸人,自由・非常識,「ただの失礼な人」「テレビで見たくない」という拒絶。
あの,黒髪ボブ・独特の声,アーティスト芸人,内向・鋭い,「キャラの作りすぎ」「生理的に受け付けない」という嫌悪。
徳井義実,二枚目・猫好き,チュートリアル・脱税,変態・マイペース,「脱税以降、華がなくなった」「独身をこじらせすぎて怖い」。
福田充徳,細身・普通のおじさん,チュートリアル,謙虚・地味,「いる意味がわからない」「徳井のバーターでしかない」。
加藤浩次,狂犬・スーツ,極楽とんぼ・朝の顔,熱い・反骨,「正義の味方気取りが鼻につく」「自分に甘く他人に厳しい」。
山本圭壱,肥満・おじさん顔,極楽とんぼ・復帰,しぶとい・自由,「そもそも需要がない」「見ていて事件を思い出す」。
東野幸治,爬虫類顔・無機質な目,白い悪魔,サイコパス・好奇心,「人の不幸を喜びすぎ」「血が通っていない」という恐怖。
今田耕司,若々しい・独身,司会,潔癖・仕事人間,「独身なのは性格に問題があるから」「若手に厳しすぎる」。
劇団ひとり,端正な顔・演技派,映画監督・ピン,憑依・卑屈,「才能を鼻にかけている」「笑い方がわざとらしい」。
陣内智則,シュッとした顔・スーツ,映像ネタ,天然・不器用,「一生浮気のイメージが消えない」「ネタがアップデートされていない」。
千原ジュニア,鋭い・ジャックナイフ,司会・喋り手,神経質・孤独,「昔の尖りはどこへ行った」「最近は吉本の代弁者」。
千原せいじ,ガサツ・大柄,ガサツの王,社交・無神経,「ただのガサツな一般人」「デリカシーがなさすぎる」。
小宮浩信,眼鏡・滑舌,三四郎,生意気・卑屈,「キレ方がワンパターン」「実は育ちが良いのが隠せていない」。
相田周二,良い声・普通,三四郎,マイペース・美食,「小宮の横にいるだけの給料泥棒」「何が面白いのか不明」。
野田クリスタル,筋肉・ゲーマー,マヂカルラブリー,天才自負・ストイック,「マッチョ化してから面白くなくなった」という筋肉への批判。
村上,小太り・眼鏡・ピンク,マヂカルラブリー,常識人・酒好き,「ただの酒飲みのおじさん」「ツッコミがうるさいだけ」。
伊藤俊介,髭・眼鏡・サスペンダー,オズワルド,知的・プライド高い,「妹の七光り」「インテリぶっているのが鼻につく」。
畠中悠,不思議な顔・長身,オズワルド,天然・サイコパス,「掴み所がなさすぎて気味が悪い」「実は何も考えていない」。
盛山晋太郎,長髪・いかつい,見取り図,熱い・いじられ,「いかつい見た目のわりに小心者すぎて面白くない」「小綺麗になった」。
リリー,塩顔・タトゥー,見取り図,サイコパス・モテ,「何を考えているか分からず不気味」「女性関係がだらしなさそう」。
井口浩之,小柄・前歯,ウエストランド,毒舌・僻み,「ただの悪口」「自分のコンプレックスを他人にぶつけているだけ」。
河本太,普通・キャンプ,ウエストランド,無気力・天然,「お笑いへの情熱がゼロ」「相方の寄生虫」。
渡辺隆,おじさん・AV好き,錦鯉,冷静・下衆,「ただの不潔なおじさん」「犯罪者のようなオーラがある」。
長谷川雅紀,スキンヘッド・奥歯なし,錦鯉,純粋・天然,「おバカを通り越して見ていて不安になる」「加齢による衰え」。
屋敷裕政,普通の若者・皮肉屋,ニューヨーク,毒舌・冷笑,「性格の悪さが笑いになっていない」「単なる嫌な奴」。
嶋佐和也,独特の顔・感性,ニューヨーク,変人・こだわり,「感性が独特すぎて付いていけない」「時々怖い」。
芝大輔,リーゼント・男前,モグライダー,天才・社交,「才能の持ち腐れ」「相方のせいで損をしているが、本人もそこまで」。
ともしげ,滑舌悪い・巨漢,モグライダー,超天然・パニック,「ミスが多すぎて見ていてイライラする」「計算されたポンコツ」。
ヒコロヒー,煙草・やさぐれ,ピン,サバサバ・知的,「自立した女性を演じすぎ」「結局は体制に媚びている」。
吉住,一重・コント顔,ピン,内向的・ストイック,「闇が深すぎて笑えない」「ただの病んでいる人に見える」。
やす子,はい～・迷彩服,ピン,純粋・働き者,「はい～しか言ってない」「いい人キャンペーンがしんどい」。
津田篤宏,ゴイゴイスー・うるさい顔,ダイアン,甘えん坊・小心,「叫んでいるだけ」「子供すぎて見ていられない」。
ユースケ,独特の空気・低音,ダイアン,ひねくれ・シャイ,「もっと前に出られるのにサボっている」「東京に馴染めていない」。
田中卓志,長身・キモキャラ,アンガールズ,理知的・マザコン,「キモいと言われてキレるのがもう古い」「貯金の話しかしない」。
山根良顕,ガリガリ・パパ芸人,アンガールズ,頑固・脱力,「やる気を感じない」「何もしないで立っているだけ」。
斉藤慎二,濃い顔・不倫,ジャングルポケット,自惚れ・情熱,「不祥事のイメージが強すぎて笑えない」「暑苦しいだけ」。
太田博久,筋肉・柔道,ジャングルポケット,真面目・地味,「個性がなさすぎる」「奥さんのバーター」。
おたけ,おたけサイコ・散髪,ジャングルポケット,おバカ・ビジネス,「面白くないことを自覚していない」「やる気がない」。
向井慧,ラジオ・パンサー,MC,闇・真面目,「優等生すぎて面白みがない」「闇を売りにしていてあざとい」。
菅良太郎,髭・パラパラ,パンサー,無口・猫好き,「スカしている」「何もしていない時間が長すぎる」。
尾形貴弘,サンキュー・筋肉,パンサー,熱血・バカ,「一生懸命すぎて引く」「ワンパターンなギャグ」。
あんり,恰幅・毒舌,ぼる塾,冷静・強気,「ただの口が悪いデブ」「先輩への当たりが強すぎる」。
きりやはるか,不思議な笑顔,ぼる塾,天然・図太い,「いる必要がない」「空気を壊す天才」。
田辺智加,亀梨好き・スイーツ,ぼる塾,マイペース・こだわり,「ただの食いしん坊」「話が長い」。
福田麻貴,ツッコミ・元アイドル,3時のヒロイン,しっかり者・野心,「仕切りたがりが鼻につく」「自分が一番可愛いと思っている」。
かなで,巨漢・ダンス,3時のヒロイン,恋愛体質・自由,「ただのわがまま」「恋の話が重すぎる」。
ゆめっち,派手・休養,3時のヒロイン,天然・不安定,「情緒が不安定すぎて使いにくい」「派手なだけ」。
ナダル,白タートル・ハゲ,コロチキ,性格最悪・プライド,「業界一嫌われている」「プライドの高さが異常」。
西野創人,普通・プロデューサー,コロチキ,計算・努力,「ナダルを利用しているだけで自分は面白くない」。
ハリウッドザコシショウ,裸・誇張,ピン,狂気・ストイック,「ただうるさいだけ」「やってることが幼稚」。
くっきー!,白塗り・芸術,野性爆弾,狂気・アーティスト,「世界観が独特すぎて一般人には理解不能」「怖い」。
ロッシー,天然な笑顔,野性爆弾,宇宙人・善人,「会話が成立しない」「芸人として致命的」。
西田幸治,髭・笑い飯,漫才師,大喜利・職人,「大喜利以外何もできない」「テレビに向いていない」。
哲夫,笑い飯・仏教,漫才師,理屈・教育,「説教臭い」「自分の知識を誇示したがる」。
森田哲矢,出っ歯・社長,さらば青春の光,野心・下衆,「顔が下衆すぎる」「金の話しかしない」。
東ブクロ,クズ顔・不倫,さらば青春の光,無責任・マイペース,「反省していない」「女性を道具としか思っていない」。
井上裕介,ナルシスト・小柄,NON STYLE,超ポジティブ,「生理的に無理」「当て逃げのイメージ」。
石田明,真っ白・細身,NON STYLE,繊細・ネガティブ,「ストイックぶっているのが鼻につく」「相方を許していない」。
野田クリスタル,筋肉・長髪,マヂラブ,自負・ゲーマー,「笑いより筋肉」「プライドが高くて面倒」。
村上,ピンク・眼鏡,マヂラブ,酒・常識,「ただの太った一般人」「面白さがない」。
おいでやす小田,叫び・眼鏡,ユニット,絶叫・真面目,「叫ぶだけで中身がない」「使い捨て感」。
こがけん,オーマイガー・歌,ユニット,繊細・こだわり,「歌がうまいだけで芸人ではない」「理屈っぽい」。
サンシャイン池崎,叫び・細身,ピン,真面目・貯金,「叫ぶしか芸がない」「実は面白くないのがバレている」。
あばれる君,一生懸命・坊主,ピン,熱血・空回り,「必死すぎて笑えない」「ワンパターン」。
とにかく明るい安村,裸・英国,ピン,しぶとい・おバカ,「裸以外に何があるのか」「海外人気に浮かれている」。
ヒロシ,キャンプ・自虐,ピン,内向・ビジネス,「一発屋の悲哀を売りすぎ」「キャンプに逃げた」。
小島よしお,筋肉・海パン,ピン,教育・努力,「子供向けに逃げた」「筋肉しかない」。
狩野英孝,天然・神主,ピン,ポンコツ・愛され,「ただの運が良いバカ」「不祥事を笑いにしすぎ」。
出川哲朗,ヤバイよ・巨漢,ピン,誠実・バカ,「汚れ芸を捨てて好感度に走った」「面白くなくなった」。
江頭2:50,黒タイツ・YouTube,ピン,伝説・シャイ,「良い人キャンペーンが激しすぎて昔の狂気が消えた」。
久本雅美,よろぴく・細身,WAHAHA,パワフル・寂しがり,「うるさいだけ」「古い価値観の押し売り」。
いとうあさこ,老化・レオタード,ピン,明るい・お酒,「自虐が痛々しい」「見ていて悲しくなる」。
大久保佳代子,OL風・性欲,オアシズ,現実的・卑屈,「エロい話しかしない」「ただの寂しいおばさん」。
光浦靖子,眼鏡・手芸,オアシズ,知的・繊細,「理屈っぽくて面倒」「日本を捨てて留学に逃げた」。
黒沢かずこ,千手観音・独身,森三中,人見知り・変態,「何を言っているか分からない」「不気味」。
村上知子,主婦・小太り,森三中,現実的・毒舌,「ただの口うるさいおばさん」「面白みがない」。
大島美幸,坊主・体当たり,森三中,漢気・家族愛,「体を張らなくなってから価値がなくなった」。
近藤春菜,角野卓造・眼鏡,ハリセンボン,社交・仕事,「司会業に色気を出して芸を捨てた」「媚びている」。
箕輪はるか,死神・歯,ハリセンボン,内向・知的,「暗すぎて笑えない」「生気がない」。
バービー,巨漢・派手,ピン,実業家・肉食,「自分を売り出しすぎ」「芸人より実業家」。
イモトアヤコ,太眉・家庭的,ピン,努力・勇敢,「ただのアスリート」「お笑いではない」。
友近,なりきり・演歌,ピン,職人・意地悪,「自分のこだわりが強すぎて周りが付いていけない」「説教臭い」。
しんいち,R-1・クズ,ピン,上昇・ナル,「ただの嫌な奴」「才能がないのを性格の悪さでカバーしている」。
ZAZY,ピンク・羽,ピン,プライド・変人,「自分が天才だと思い込んでいる」「周りを見下している」。
ルシファー吉岡,ハゲ・下ネタ,ピン,卑屈・変態,「ただの気持ち悪い人」「笑いの幅が狭い」。
街裏ぴんく,嘘漫談・巨漢,ピン,妄想・純粋,「嘘が長すぎて飽きる」「一部の人間しか笑っていない」。
もう中学生,段ボール,ピン,狂気・丁寧,「闇を感じて怖い」「やってることが子供騙し」。
永野,シェー・ラッセン,ピン,ひねくれ・孤高,「自分が一番面白いと思っている」「実は普通の人」。
小梅太夫,チックショー,ピン,おバカ・地味,「何を言っているか不明」「白塗りなしでは生きていけない」。
鉄拳,パラパラ漫画,ピン,繊細・真面目,「ただのイラストレーター」「お笑いではない」。
パペットマペット,牛と蛙,ピン,シャイ・孤独,「正体不明なのが売りだが、もう飽きられている」。
ゴー☆ジャス,地球儀,ピン,真面目・ゲーム,「ギャグが寒い」「宇宙人設定が邪魔」。
バイク川崎バイク,BKB,ピン,社交・マメ,「BKBしか言っていない」「実はただの小心者」。
なかやまきんに君,パワー・筋肉,ピン,ストイック・天然,「パワー以外のボキャブラリーがゼロ」。
ですよ。,謝罪・細身,ピン,天然・善人,「あーいとぅいまてーん以外に何があるのか」。
ジョイマン高木,ラップ,ピン,脱力・一発屋,「ラップが寒い」「昔の貯金で生きている」。
クールポコ。小野,杵・坊主,コンビ,伝統・バカ,「なーにーしか言ってない」「古い」。
クールポコ。せんちゃん,臼,コンビ,地味,「いる必要がない」。
波田陽区,ギター侍,ピン,一発屋・自虐,「斬るべきは自分」「しぶとすぎる」。
エド・はるみ,グーグー,ピン,真面目・高学歴,「マナーにうるさくて共演NGが多い」。
ムーディ勝山,右から左,ピン,自虐・低姿勢,「もう誰も聞いていない」。
キンタロー。,顔デカ・憑依,ピン,必死・情緒,「悪意のあるモノマネが不快」「情緒不安定」。
じろう,女装・コント,シソンヌ,憑依・内向,「才能を鼻にかけている」「一般人を馬鹿にしている」。
長谷川忍,眼鏡・お洒落,シソンヌ,社交・強気,「ファッションに夢中で芸が疎か」「声がでかいだけ」。
長田庄平,肩幅・氷室,チョコプラ,クリエイティブ・頑固,「自分が一番正しいと思っている」「プライド高い」。
松尾駿,IKKO・小太り,チョコプラ,器用・陽気,「器用貧乏」「結局モノマネでしかない」。
リリー・フランキー,枯れ・エロ,その他,達観,「芸人気取りが鼻につく」。
古市憲寿,若作り・無機質,その他,毒舌,「ただの礼儀知らず」「自分が賢いと思っている」。
成田悠輔,眼鏡・冷笑,その他,合理,「お笑いをバカにしている」「言葉遊びだけ」。
ひろゆき,パーカー・猫背,その他,冷笑,「論破ごっこ」「お笑いの文脈が分かっていない」。
堀江貴文,Tシャツ・恰幅,その他,合理的,「短気すぎて笑えない」「自分の意見以外認めない」。
三木谷浩史,カジュアル,その他,独裁,「強欲」「お笑いへの理解がゼロ」。
前澤友作,小柄・笑顔,その他,好奇心,「金で注目を買っているだけ」「成金趣味」。
孫正義,笑顔・広がる額,その他,情熱,「ビジョンが壮大すぎて浮いている」。
イーロン・マスク,サイボーグ的,その他,過激,「独裁者」「気分屋すぎて付いていけない」。
トランプ,金髪・長いネクタイ,その他,煽動,「ただの声がでかい人」。
バイデン,高齢・眼鏡,その他,穏健,「何を言っているか不明」。
プーチン,冷徹・眼光,その他,強権,「笑えない」。
習近平,無表情,その他,独裁,「絶対的な恐怖」。
キム・ジョンウン,独特の髪型・肥満,その他,独裁,「お笑い界への最大の脅威」。
米津玄師,長い前髪,その他,内向,「ミステリアスを売りすぎ」「暗い」。
あいみょん,ウルフカット,その他,自然体,「古臭い歌」「あざとい」。
星野源,塩顔・眼鏡,その他,マルチ,「草食系を装った肉食」「多才アピール」。
福山雅治,二枚目,その他,完璧,「エロい話が寒い」「完璧すぎて面白くない」。
秋元康,丸顔・眼鏡,その他,仕事中毒,「アイドルの搾取」「強欲」。
村上春樹,短パン,その他,欧米志向,「ポエム」「何を言いたいのか不明」。
東野圭吾,紳士,その他,多作,「テンプレートな物語」「意外性がない」。
西野亮廣,プペル,その他,革命家,「宗教」「信者以外には不快でしかない」。
蜷川実花,華やか,その他,情熱,「色がうるさい」「いつも同じ世界観」。
村上隆,髭,その他,ビジネス,「芸術を金にしか見ていない」「不気味」。
与沢翼,転生,その他,秒速,「成金」「またいつか破綻する」。
青汁王子,ブランド物,その他,執念,「悲劇のヒーロー気取り」「あざとい」。
てんちむ,整形,その他,自由,「嘘つき」「自分のことしか考えていない」。
戦慄かなの,ドーリー,その他,毒,「ただの不良」「法を軽視している」。
Z李,不詳,その他,謎,「正義の味方ごっこ」「不気味」。
滝沢ガレソ,不詳,その他,執念,「他人の不幸で飯を食うハイエナ」。
加藤純一,いかつい,YouTuber,過激,「信者が怖い」「言葉が汚すぎる」。
コレコレ,マスク,YouTuber,暴露,「ネットのゴミ拾い」「承認欲求の塊」。
ポケカメン,派手髪,YouTuber,煽り,「ただの子供」「粘着質」。
ヒカキン,変顔,YouTuber,聖人,「子供向けすぎて大人は笑えない」「偽善者臭」。
はじめしゃちょー,高身長,YouTuber,多趣味,「何をしたいのか不明」「飽きられている」。
ヒカル,ツートン,YouTuber,野心,「詐欺師のような胡散臭さ」「金の話しかしない」。
朝倉未来,サングラス,格闘家,冷静,「格闘技をビジネスにしすぎ」「負けたら終わり」。
DJ社長,タトゥー,YouTuber,借金,「破天荒を演じすぎ」「計画性がない」。
コムドットやまと,整った顔,YouTuber,自信,「若さゆえの過ち」「痛すぎる」。
ゆうた,ストリート,YouTuber,クール,「スカしている」「やまとがいないと何もできない」。
ひゅうが,髭,YouTuber,漢気,「ただのいかつい人」「中身がない」。
あむぎり,愛嬌,YouTuber,天然,「いるだけ」「戦力外」。
ゆうま,独特,YouTuber,変人,「何を言っているか不明」「不気味」。
大谷翔平,爽やか,格闘家,謙虚,「完璧すぎて面白みがない」「隙がない」。
ダルビッシュ有,ハーフ,格闘家,論理,「SNSで論破しすぎ」「兄貴風」。
羽生結弦,細身,格闘家,王子様,「自己愛が強すぎて怖い」「演技過剰」。
本田圭佑,金髪,格闘家,不屈,「結果が出ていない」「ビッグマウス」。
長友佑都,マッチョ,格闘家,ブラボー,「うるさい」「空回りの極致」。
久保建英,若々しい,格闘家,生意気,「可愛げがない」「態度が悪い」。
三笘薫,鋭い目,格闘家,冷静,「感情が見えない」「つまらない」。
井上尚弥,鋭い,格闘家,ストイック,「強すぎて試合が面白くない」。
那須川天心,陽気,格闘家,天才,「お喋りがすぎる」「格闘家に集中しろ」。
武尊,筋肉質,格闘家,情熱,「泣きすぎ」「感情の起伏が激しすぎる」。
坂本勇人,二枚目,野球,遊び人,「女性問題が多すぎる」「チャラい」。
中田翔,いかつい,野球,親分,「暴力のイメージが消えない」「怖い」。
新庄剛志,派手,野球,宇宙人,「野球をエンタメにしすぎ」「おふざけが激しい」。
立浪和義,威圧感,野球,厳しい,「独裁」「PL時代の古い価値観」。
岡田彰布,への字口,野球,独特,「何を言っているか半分も分からない」。
森保一,メモ魔,野球,真面目,「決断が遅い」「面白みがない」。
貴乃花,孤高,格闘家,信念,「話が通じない」「宗教的」。
朝青龍,モンゴル,格闘家,陽気,「品格がない」「暴れすぎ」。
白鵬,巨大,格闘家,最強,「勝てば良いという姿勢が鼻につく」。
内村航平,小柄,格闘家,ストイック,「体操以外のことに関心がない」「冷たい」。
田中将大,面長,野球,粘り,「年俸のわりに勝てない」「過去の遺産」。
吉田沙保里,筋肉,格闘家,霊長類最強,「女子力が高いアピールが痛い」。
福原愛,泣き虫,卓球,波乱,「不倫のイメージでイメージ崩壊」。
石川佳純,爽やか,卓球,誠実,「真面目すぎて面白くない」。
高梨沙羅,メイク,スキー,努力,「競技よりメイクの印象が強くなった」。
松山英樹,ガッチリ,ゴルフ,無口,「メディア対応が悪すぎる」。
石川遼,ハニカミ,ゴルフ,爽やか,「結果が伴っていない」「広告塔」。
